item_name,item_category,abandoned_count,total_lost_revenue,avg_lost_value
Google Eco Tee Black,Home/Apparel/Women's/,15,154,3
Google Mural Sticky Note Pad,Notebooks,2,154,51
YouTube Leather Strap Hat Black,"",5,153,19
Google ApPeel Journal Red,Home/Stationery/Notebooks/,151,152,1
YouTube Leather Strap Hat Black,Sale,28,152,4
Google ApPeel Journal Red,Notebooks,1,152,38
Google Incognito Flap Pack,Backpacks/,8,150,12
Android SM S/F18 Sticker Sheet,Home/Sale/,995,150,0
Google Youth FC Longsleeve Charcoal,Home/Apparel/,86,150,1
Google Youth FC Tee Charcoal,Home/Apparel/,86,150,1
Google Mountain View Campus Unisex Tee,Home/New/,125,150,1
Google Tudes Recycled Tee,Home/Apparel/Men's / Unisex/,48,150,1
Google Chrome Dinosaur Collectible,Small Goods,12,150,12
Google Stylus Pen w/ LED Light,Home/Stationery/Writing/,115,150,1
Google Heather Green Speckled Tee,Apparel,15,150,8
Google Recycled Writing Set,Home/Eco-Friendly/,5,150,12
Google Mens Microfleece Jacket Black,"",1,150,75
Google Campus Bike Eco Tee Navy,Eco-Friendly,19,150,6
Google F/C Long Sleeve Tee Ash,Google,10,150,14
Google Women's Microfleece Jacket Black,Apparel,4,150,30
Google Bot (Multicolored),Lifestyle/Small Goods/,14,150,10
Google Incognito Flap Pack,Lifestyle,2,150,38
Google Mural Socks,New,3,150,15
Google Seattle Campus Unisex Tee,Home/Campus Collection/,2,150,75
Google Women's Microfleece Jacket Black,Home/Shop by Brand/,2,150,17
Super G Unisex Joggers,Apparel,9,148,13
Maze Pen,Home/Stationery/,188,146,0
Flamingo and Friends Tee Blue,Home/Apparel/Men's / Unisex/,72,145,1
Google Women's Striped L/S,Home/Shop by Brand/Google/,10,145,7
Android Pocket Tee Navy,Apparel,7,145,15
YouTube Transmission Journal Red,Home/Stationery/Notebooks/,127,144,1
Google Youth Hero Tee Maroon,Home/Apparel/Kids/,124,144,1
Google Medium Pet Collar (Red/Yellow),"",4,140,35
Google Perk Thermal Tumbler,Lifestyle/,108,140,0
Android Garden Tee Orange,Men's / Unisex,14,140,9
Google Mural Mug,"",7,136,17
Google Land & Sea Mug,Home/Shop by Brand/Google/,271,136,0
Stainless Bent Straw/Cleaner,Lifestyle/Drinkware/,538,136,0
Google Black Cork Journal,Eco-Friendly,8,136,17
Google Small Standard Journal Navy,Stationery,16,135,6
Google Youth FC Zip Hoodie,Home/Apparel/Kids/,19,135,2
Google Youth FC Zip Hoodie,Kids,11,135,8
Google Confetti Accessory Pouch,Lifestyle/Bags/,306,132,0
Google Black Cork Journal,Home/Stationery/,122,132,0
Google Hemp Tote,Home/Eco-Friendly/,105,132,1
Google Black Tee,"",3,132,33
Google Utility Bag Grey,Lifestyle/Bags/,306,130,0
Google NYC Campus Mug,Sale,34,129,3
